,película,año,imdb,metascore,votos,n_imdb
0,Gladiator,2000,8.5,67,1556370,85.0
1,Memento,2000,8.4,83,1282536,84.0
2,Cerdos y diamantes,2000,8.2,55,883667,82.0
3,Requiem for a Dream,2000,8.3,71,871915,83.0
4,American Psycho,2000,7.6,64,672453,76.0
5,X-Men,2000,7.3,64,632614,73.0
6,Cast Away,2000,7.8,73,617739,78.0
7,Unbreakable,2000,7.3,62,431231,73.0
8,Mission: Impossible II,2000,6.1,59,365914,61.0
9,Meet the Parents,2000,7.0,73,346439,70.0
10,"O Brother, Where Art Thou?",2000,7.7,69,322905,77.0
11,Gone in Sixty Seconds,2000,6.5,35,288276,65.0
12,Almost Famous,2000,7.9,90,286373,79.0
13,The Patriot,2000,7.2,63,286135,72.0
14,Wo hu cang long,2000,7.9,94,277209,79.0
15,Scary Movie,2000,6.2,48,274852,62.0
16,How the Grinch Stole Christmas,2000,6.3,46,270988,63.0
17,Final Destination,2000,6.7,36,268973,67.0
18,Pitch Black,2000,7.0,49,248784,70.0
19,The Beach,2000,6.6,43,247792,66.0
20,Amores perros,2000,8.1,83,247581,81.0
21,"Me, Myself & Irene",2000,6.6,49,245575,66.0
22,Remember the Titans,2000,7.8,48,225027,78.0
23,Miss Simpatía,2000,6.3,43,221583,63.0
24,The Emperor's New Groove,2000,7.4,70,216386,74.0
25,What Women Want,2000,6.4,47,216158,64.0
26,Traffic,2000,7.6,86,215247,76.0
27,Erin Brockovich,2000,7.4,73,210552,74.0
28,Pollitos en fuga,2000,7.1,88,201471,71.0
29,Chocolat,2000,7.3,64,197452,73.0
30,Charlie's Angels,2000,5.6,52,192635,56.0
31,Batoru rowaiaru,2000,7.6,81,189935,76.0
32,High Fidelity,2000,7.4,79,186018,74.0
33,Road Trip,2000,6.5,55,174514,65.0
34,The Perfect Storm,2000,6.5,59,174070,65.0
35,Fa yeung nin wah,2000,8.1,87,159400,81.0
36,Scream 3,2000,5.6,56,157332,56.0
37,"Hey, dónde está mi auto?",2000,5.5,30,143498,55.0
38,Billy Elliot,2000,7.7,74,139458,77.0
39,Hollow Man,2000,5.8,24,135505,58.0
40,Shanghai Noon,2000,6.6,77,132485,66.0
41,Revelaciones,2000,6.6,51,132065,66.0
42,The 6th Day,2000,5.9,49,125935,59.0
43,The Whole Nine Yards,2000,6.7,47,125240,67.0
44,Men of Honor,2000,7.2,56,122094,72.0
45,Pay It Forward,2000,7.2,40,122032,72.0
46,Coyote Ugly,2000,5.7,27,118750,57.0
47,The Family Man,2000,6.8,42,114877,68.0
48,Dancer in the Dark,2000,7.9,63,113951,79.0
49,Frequency,2000,7.4,67,112975,74.0
50,Little Nicky,2000,5.3,38,109844,53.0
51,Bedazzled,2000,6.1,49,109640,61.0
52,Malèna,2000,7.4,54,108230,74.0
53,The Cell,2000,6.4,40,106468,64.0
54,The Road to El Dorado,2000,6.9,51,103093,69.0
55,Bring It On,2000,6.1,52,101781,61.0
56,Big Momma's House,2000,5.2,33,88831,52.0
57,Buscando a Forrester,2000,7.3,62,88192,73.0
58,U-571,2000,6.6,62,84589,66.0
59,Space Cowboys,2000,6.5,73,84400,65.0
60,Battlefield Earth,2000,2.5,9,81980,25.0
61,Shaft,2000,6.0,50,79378,60.0
62,Mission to Mars,2000,5.7,34,75358,57.0
63,The Gift,2000,6.7,62,72798,67.0
64,Romeo Must Die,2000,6.1,52,72516,61.0
65,The Replacements,2000,6.6,30,67790,66.0
66,Wonder Boys,2000,7.2,74,65720,72.0
67,Best in Show,2000,7.4,78,65046,74.0
68,Dinosaur,2000,6.4,56,64848,64.0
69,Sexy Beast,2000,7.3,79,64466,73.0
70,Les rivières pourpres,2000,6.9,49,64134,69.0
71,Vertical Limit,2000,5.9,48,63944,59.0
72,Titan A.E.,2000,6.6,48,62919,66.0
73,Trece días,2000,7.3,67,61185,73.0
74,Red Planet,2000,5.7,34,59268,57.0
75,The Legend of Bagger Vance,2000,6.7,47,58502,67.0
76,Proof of Life,2000,6.3,45,58242,63.0
77,Quills,2000,7.2,70,55797,72.0
78,Boiler Room,2000,7.0,63,55357,70.0
79,Nueve reinas,2000,7.9,80,55356,79.0
80,Keeping the Faith,2000,6.4,60,52780,64.0
81,28 Days,2000,6.1,46,52614,61.0
82,Nutty Professor II: The Klumps,2000,4.4,38,52404,44.0
83,Ginger Snaps,2000,6.8,70,50015,68.0
84,Rules of Engagement,2000,6.4,45,49438,64.0
85,The Kid,2000,6.1,45,43519,61.0
86,La sombra del vampiro,2000,6.9,71,43296,69.0
87,Next Friday,2000,6.1,41,42847,61.0
88,Tigerland,2000,6.9,55,42487,69.0
89,Reindeer Games,2000,5.8,37,41429,58.0
90,Chopper,2000,7.1,68,40522,71.0
91,Small Time Crooks,2000,6.7,69,39857,67.0
92,Book of Shadows: Blair Witch 2,2000,4.0,15,39265,40.0
93,102 Dalmatians,2000,4.8,35,38834,48.0
94,Nurse Betty,2000,6.3,69,35835,63.0
95,Get Carter,2000,5.1,24,35768,51.0
96,Where the Heart Is,2000,6.7,30,35695,67.0
97,Dungeons & Dragons,2000,3.6,14,35517,36.0
98,Dracula 2001,2000,4.9,26,35434,49.0
99,The Way of the Gun,2000,6.6,49,34605,66.0
100,Vampire Hunter D: Bloodlust,2000,7.6,62,34082,76.0
101,Sociedad secreta,2000,5.6,24,33171,56.0
102,Area de seguridad compartida,2000,7.7,58,32763,77.0
103,You Can Count on Me,2000,7.5,85,30844,75.0
104,The Art of War,2000,5.7,30,30527,57.0
105,Loser,2000,5.3,35,29877,53.0
106,Pollock,2000,7.0,77,29023,70.0
107,The Watcher,2000,5.3,22,28049,53.0
108,Autumn in New York,2000,5.6,24,27548,56.0
109,Under Suspicion,2000,6.4,43,26943,64.0
110,Yi yi,2000,8.1,94,26883,81.0
111,Before Night Falls,2000,7.1,85,25974,71.0
112,The Flintstones in Viva Rock Vegas,2000,3.7,27,24788,37.0
113,The Contender,2000,6.9,59,24687,69.0
114,Brother,2000,7.1,47,23922,71.0
115,Tillsammans,2000,7.4,84,23423,74.0
116,Blinkende lygter,2000,7.5,47,23284,75.0
117,Love & Basketball,2000,7.2,72,23210,72.0
118,En julio,2000,7.6,71,22568,76.0
119,Center Stage,2000,6.7,52,22386,67.0
120,The Yards,2000,6.4,58,22322,64.0
121,The Million Dollar Hotel,2000,5.7,25,22104,57.0
122,Return to Me,2000,6.9,54,22059,69.0
123,State and Main,2000,6.7,75,21825,67.0
124,Un vuelco del corazón,2000,5.8,52,21404,58.0
125,My Dog Skip,2000,7.0,61,21047,70.0
126,Highlander: Endgame,2000,4.6,21,20966,46.0
127,The Adventures of Rocky & Bullwinkle,2000,4.3,36,20866,43.0
128,El doctor y sus mujeres,2000,4.7,64,20027,47.0
129,Sånger från andra våningen,2000,7.5,77,19855,75.0
130,The Tigger Movie,2000,6.3,53,19827,63.0
131,Saving Grace,2000,6.9,62,19018,69.0
132,Supernova,2000,4.8,19,18799,48.0
133,Urban Legends: Final Cut,2000,4.4,16,18460,44.0
134,Baise-moi,2000,4.4,35,18244,44.0
135,Boys and Girls,2000,5.4,29,17321,54.0
136,Gossip,2000,5.9,31,17269,59.0
137,The Dish,2000,7.2,74,16827,72.0
138,Cecil B. Demented,2000,6.2,57,16308,62.0
139,The Man Who Cried,2000,6.1,40,16153,61.0
140,Down to You,2000,5.0,13,15534,50.0
141,All the Pretty Horses,2000,5.8,55,15430,58.0
142,Drowning Mona,2000,5.7,25,15232,57.0
143,Werckmeister harmóniák,2000,8.0,92,15226,80.0
144,Bless the Child,2000,5.1,17,15108,51.0
145,Ready to Rumble,2000,5.3,23,14982,53.0
146,Der Krieger und die Kaiserin,2000,7.4,64,14834,74.0
147,Code inconnu: Récit incomplet de divers voyages,2000,7.1,74,14660,71.0
148,Seom,2000,6.9,61,14414,69.0
149,Gangster No. 1,2000,6.7,60,14349,67.0
150,Animal Factory,2000,6.6,65,14251,66.0
151,Anatomie,2000,6.0,33,13795,60.0
152,Italiensk for begyndere,2000,7.1,77,13675,71.0
153,The Ladies Man,2000,5.2,22,13601,52.0
154,Snow Day,2000,5.1,34,13311,51.0
155,Aventuras en pañales en Paris,2000,6.1,62,13252,61.0
156,Blood: The Last Vampire,2000,6.6,44,13045,66.0
157,Hanging Up,2000,4.8,33,12973,48.0
158,Bait,2000,5.7,39,12948,57.0
159,Bamboozled,2000,6.6,56,12049,66.0
160,"Harry, un ami qui vous veut du bien",2000,7.1,75,11759,71.0
161,The Next Best Thing,2000,4.7,25,11546,47.0
162,Whatever It Takes,2000,5.5,20,11491,55.0
163,Girlfight,2000,6.7,70,11256,67.0
164,Sous le sable,2000,7.1,86,11224,71.0
165,Lost Souls,2000,4.8,16,11210,48.0
166,The Little Vampire,2000,5.7,45,11030,57.0
167,Woman on Top,2000,5.3,41,10793,53.0
168,Lucky Numbers,2000,5.1,31,10790,51.0
169,Left Behind,2000,4.3,22,10236,43.0
170,Le goût des autres,2000,7.2,78,10183,72.0
171,Happy Accidents,2000,7.2,60,10087,72.0
172,Pane e tulipani,2000,7.3,68,9914,73.0
173,The Weight of Water,2000,5.8,45,9898,58.0
174,Duets,2000,6.1,40,9859,61.0
175,Hamlet,2000,5.9,70,9827,59.0
176,101 Reykjavík,2000,6.8,68,9824,68.0
177,Flandersui gae,2000,6.9,66,9796,69.0
178,What Planet Are You From?,2000,5.6,41,9736,56.0
179,Screwed,2000,5.6,7,9370,56.0
180,Panic,2000,6.7,77,8870,67.0
181,Here on Earth,2000,5.2,25,8800,52.0
182,Uzumaki,2000,6.1,62,8707,61.0
183,Zamani barayé masti asbha,2000,7.7,78,8666,77.0
184,George Washington,2000,7.2,82,8546,72.0
185,Les glaneurs et la glaneuse,2000,7.7,86,8296,77.0
186,Guizi lai le,2000,8.2,70,8294,82.0
187,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1938667,88.0
188,Una mente brillante,2001,8.2,72,960330,82.0
189,"Monsters, Inc.",2001,8.1,79,945793,81.0
190,Donnie Darko,2001,8.0,88,827782,80.0
191,Harry Potter and the Sorcerer's Stone,2001,7.6,65,821420,76.0
192,El viaje de Chihiro,2001,8.6,96,805628,86.0
193,Le fabuleux destin d'Amélie Poulain,2001,8.3,69,776269,83.0
194,Shrek,2001,7.9,84,708635,79.0
195,La gran estafa,2001,7.7,74,599214,77.0
196,Training Day,2001,7.7,71,455556,77.0
197,La caída del halcón negro,2001,7.7,74,411907,77.0
198,The Fast and the Furious,2001,6.8,58,406699,68.0
199,The Others,2001,7.6,74,380598,76.0
200,Mulholland Dr.,2001,7.9,86,371364,79.0
201,"Pearl Harbor, entre el fuego y la pasión",2001,6.2,44,344197,62.0
202,La momia regresa,2001,6.4,48,338077,64.0
203,Jurassic Park III,2001,5.9,42,333585,59.0
204,A. I. inteligencia artificial,2001,7.2,65,316927,72.0
205,The Royal Tenenbaums,2001,7.6,76,305445,76.0
206,Amor en rojo,2001,7.6,66,293402,76.0
207,Hannibal,2001,6.8,57,285317,68.0
208,Zoolander,2001,6.5,61,283905,65.0
209,Vanilla Sky,2001,6.9,45,279189,69.0
210,Enemigo al acecho,2001,7.5,53,271427,75.0
211,Soplo,2001,7.5,52,269296,75.0
212,La segunda vez es mejor,2001,6.4,43,264675,64.0
213,Bridget Jones's Diary,2001,6.8,66,254207,68.0
214,Legally Blonde,2001,6.4,59,234345,64.0
215,Una pareja explosiva 2,2001,6.7,48,231883,67.0
216,Planet of the Apes,2001,5.7,50,224738,57.0
217,Tomb Raider,2001,5.7,33,215039,57.0
218,A Knight's Tale,2001,6.9,56,195624,69.0
219,Acceso autorizado,2001,6.5,32,192922,65.0
220,K-PAX,2001,7.4,49,189616,74.0
221,Otra película de miedo,2001,5.3,29,169178,53.0
222,Juego de espías,2001,7.0,63,162168,70.0
223,From Hell,2001,6.7,54,160730,67.0
224,Jay and Silent Bob Strike Back,2001,6.8,51,158724,68.0
225,El diario de la princesa,2001,6.4,52,156489,64.0
226,Lección de amor,2001,7.6,28,153130,76.0
227,Shallow Hal,2001,6.0,48,139817,60.0
228,Jeepers Creepers,2001,6.2,49,137069,62.0
229,Evolution,2001,6.1,40,133287,61.0
230,The Score,2001,6.8,71,131660,68.0
231,Atlantis: El imperio perdido,2001,6.9,52,128440,69.0
232,Y tu mamá también,2001,7.7,89,126664,77.0
233,Ghost World,2001,7.3,90,124380,73.0
234,Spy Kids,2001,5.6,71,123156,56.0
235,Rat Race,2001,6.4,52,120404,64.0
236,Lagaan: Once Upon a Time in India,2001,8.1,84,117899,81.0
237,Serendipity,2001,6.8,52,117700,68.0
238,The Man Who Wasn't There,2001,7.5,73,112820,75.0
239,No es otra tonta película americana,2001,5.7,32,111583,57.0
240,The Mexican,2001,6.1,43,111216,61.0
241,Tras líneas enemigas,2001,6.4,49,109997,64.0
242,Super Troopers,2001,7.0,48,109824,70.0
243,Ali,2001,6.7,65,103422,67.0
244,Das Experiment,2001,7.7,59,95267,77.0
245,The One,2001,5.9,25,94504,59.0
246,Along Came a Spider,2001,6.4,42,93186,64.0
247,Sweet November,2001,6.7,27,93061,67.0
248,El pasado nos condena,2001,7.1,69,92245,71.0
249,Gosford Park,2001,7.2,90,91468,72.0
250,Thir13en Ghosts,2001,5.6,30,90955,56.0
251,Frailty,2001,7.2,64,88047,72.0
252,Kate & Leopoldo,2001,6.4,44,87370,64.0
253,Siu Lam juk kau,2001,7.3,68,85173,73.0
254,Experta en bodas,2001,5.3,33,84288,53.0
255,The Last Castle,2001,6.9,43,83575,69.0
256,Fantasía final: El espíritu en nosotros,2001,6.4,49,83325,64.0
257,Joy Ride,2001,6.6,75,73414,66.0
258,Bandits,2001,6.5,60,69899,65.0
259,Le pacte des loups,2001,7.0,57,69338,70.0
260,El espinazo del diablo,2001,7.4,78,69166,74.0
261,La pianista,2001,7.5,79,68588,75.0
262,Waking Life,2001,7.7,84,65918,77.0
263,Kiss of the Dragon,2001,6.6,58,65583,66.0
264,Save the Last Dance,2001,6.2,53,64532,62.0
265,The Pledge,2001,6.8,71,63983,68.0
266,Animal,2001,4.8,43,62223,48.0
267,Cats & Dogs,2001,5.1,47,61430,51.0
268,Session 9,2001,6.4,58,61314,64.0
269,How High,2001,6.2,29,60600,62.0
270,Wet Hot American Summer,2001,6.5,42,59575,65.0
271,Jason X,2001,4.4,25,59302,44.0
272,Joe Dirt,2001,6.0,20,59288,60.0
273,America's Sweethearts,2001,5.7,44,59258,57.0
274,Koroshiya 1,2001,7.0,55,58578,70.0
275,Original Sin,2001,6.0,33,58464,60.0
276,Heartbreakers,2001,6.2,47,56743,62.0
277,Ghosts of Mars,2001,4.9,35,56513,49.0
278,The Majestic,2001,6.9,27,56448,69.0
279,Ni una palabra,2001,6.3,38,55807,63.0
280,15 minutos,2001,6.1,34,51342,61.0
281,Cowboy Bebop: La película,2001,7.8,61,51216,78.0
282,The 51st State,2001,6.3,23,50387,63.0
283,Freddy Got Fingered,2001,4.6,13,50203,46.0
284,No Man's Land,2001,7.9,84,48142,79.0
285,3000 millas al infierno,2001,5.9,21,47976,59.0
286,Dr. Dolittle 2,2001,4.7,49,46545,47.0
287,Life as a House,2001,7.5,45,44996,75.0
288,Rock Star,2001,6.3,54,44570,63.0
289,Alta velocidad,2001,4.6,29,42421,46.0
290,Black Knight,2001,4.9,32,42376,49.0
291,Wasabi,2001,6.6,53,41783,66.0
292,The Curse of the Jade Scorpion,2001,6.7,52,41725,67.0
293,Tan perversa como el diablo,2001,5.8,22,41711,58.0
294,In the Bedroom,2001,7.4,86,41385,74.0
295,Mean Machine,2001,6.4,45,40979,64.0
296,Nostalgia del pasado,2001,6.9,55,40127,69.0
297,The Believer,2001,7.1,75,40044,71.0
298,Bully,2001,6.9,45,39679,69.0
299,The Glass House,2001,5.8,34,39018,58.0
300,Heist,2001,6.5,66,38362,65.0
301,Lucía y el sexo,2001,7.0,65,38001,70.0
302,Osmosis Jones,2001,6.3,57,37736,63.0
303,Jimmy Neutron: Niño genio,2001,6.1,65,36891,61.0
304,Hedwig and the Angry Inch,2001,7.7,85,36763,77.0
305,Exit Wounds,2001,5.6,39,36361,56.0
306,Captain Corelli's Mandolin,2001,5.9,36,35407,59.0
307,Bubble Boy,2001,5.7,41,34544,57.0
308,The Shipping News,2001,6.7,47,33562,67.0
309,Hard Ball,2001,6.4,48,32758,64.0
310,One Night at McCool's,2001,6.2,46,31015,62.0
311,The Tailor of Panama,2001,6.1,66,30533,61.0
312,Sennen joyû,2001,7.8,70,30320,78.0
313,Riding in Cars with Boys,2001,6.5,43,30024,65.0
314,Antitrust,2001,6.1,31,29943,61.0
315,Valentine,2001,4.9,18,29473,49.0
316,Domestic Disturbance,2001,5.6,29,28239,56.0
317,Alguien como tú,2001,6.0,32,27074,60.0
318,Monsoon Wedding,2001,7.3,77,26301,73.0
319,Ruleta rusa,2001,6.0,51,26051,60.0
320,Crocodile Dundee in Los Angeles,2001,4.8,37,25757,48.0
321,Crazy/Beautiful,2001,6.4,61,25295,64.0
322,Mirada de ángel,2001,5.7,39,25252,57.0
323,Buffalo Soldiers,2001,6.7,56,25227,67.0
324,Knockaround Guys,2001,6.1,30,24520,61.0
325,Down to Earth,2001,5.4,32,24460,54.0
326,Impostor,2001,6.1,33,24263,61.0
327,Josie and the Pussycats,2001,5.6,47,24176,56.0
328,Glitter,2001,2.4,14,23894,24.0
329,Kairo,2001,6.5,70,23655,65.0
330,Metoroporisu,2001,7.2,75,22137,72.0
331,Lost and Delirious,2001,6.8,53,21906,68.0
332,O,2001,6.1,53,21699,61.0
333,Enigma,2001,6.4,64,21625,64.0
334,La stanza del figlio,2001,7.3,73,20977,73.0
335,Tape,2001,7.2,71,20768,72.0
336,Lantana,2001,7.2,84,20015,72.0
337,Just Visiting,2001,5.7,38,19847,57.0
338,Get Over It,2001,5.7,52,19651,57.0
339,Tomcats,2001,5.3,15,19191,53.0
340,Made,2001,6.3,62,19075,63.0
341,Iris,2001,7.0,76,18820,70.0
342,Monkeybone,2001,4.8,40,18770,48.0
343,Human Nature,2001,6.4,56,18685,64.0
344,Out Cold,2001,6.2,22,18126,62.0
345,Historias prohibidas,2001,6.8,50,18080,68.0
346,Le placard,2001,7.0,72,18059,70.0
347,Kissing Jessica Stein,2001,6.6,72,17248,66.0
348,American Outlaws,2001,5.9,25,17084,59.0
349,Summer Catch,2001,5.1,21,16436,51.0
350,What's the Worst That Could Happen?,2001,5.4,37,16426,54.0
351,Sur mes lèvres,2001,7.3,82,16182,73.0
352,El hijo de la novia,2001,7.8,68,16178,78.0
353,Baby Boy,2001,6.4,55,15873,64.0
354,Elling,2001,7.5,70,15516,75.0
355,Head Over Heels,2001,5.4,27,15000,54.0
356,Sugar & Spice,2001,5.7,48,14962,57.0
357,The Musketeer,2001,4.7,27,14898,47.0
358,Pootie Tang,2001,5.2,31,14763,52.0
359,Nirgendwo in Afrika,2001,7.5,72,13732,75.0
360,Dime que no es cierto,2001,5.0,21,13600,50.0
361,Corky Romano,2001,4.7,20,13546,47.0
362,Intacto,2001,6.8,59,13464,68.0
363,Dogtown and Z-Boys,2001,7.6,76,13183,76.0
364,Charlotte Gray,2001,6.4,48,12964,64.0
365,Intimacy,2001,6.1,69,12797,61.0
366,À ma soeur!,2001,6.4,77,12439,64.0
367,Le peuple migrateur,2001,7.9,82,12157,79.0
368,The Deep End,2001,6.5,78,11875,65.0
369,Novocaine,2001,5.8,45,11503,58.0
370,Thirteen Conversations About One Thing,2001,7.0,74,11347,70.0
371,Recess: School's Out,2001,6.5,43,11303,65.0
372,The Grey Zone,2001,7.0,58,11141,70.0
373,Joe Somebody,2001,5.5,42,10963,55.0
374,Nabbeun namja,2001,6.6,49,10335,66.0
375,L.I.E.,2001,7.1,73,10309,71.0
376,The Lord of the Rings: The Two Towers,2002,8.8,87,1723962,88.0
377,Catch Me If You Can,2002,8.1,75,1042727,81.0
378,The Pianist,2002,8.5,85,873187,85.0
379,Spider-Man,2002,7.4,73,851211,74.0
380,Cidade de Deus,2002,8.6,79,779327,86.0
381,Star Wars: Episode II - Attack of the Clones,2002,6.6,54,737408,66.0
382,Harry Potter and the Chamber of Secrets,2002,7.4,63,665626,74.0
383,Sentencia previa,2002,7.6,80,570342,76.0
384,Identidad desconocida,2002,7.8,68,563540,78.0
385,La era del hielo,2002,7.5,61,502034,75.0
386,Gangs of New York,2002,7.5,72,459025,75.0
387,28 Days Later...,2002,7.5,73,430232,75.0
388,Hombres de negro II,2002,6.2,49,391677,62.0
389,Signs,2002,6.8,59,376382,68.0
390,The Ring,2002,7.1,57,364226,71.0
391,Equilibrium,2002,7.3,33,340769,73.0
392,The Transporter,2002,6.8,51,313909,68.0
393,Insomnia,2002,7.2,78,308809,72.0
394,8 Mile,2002,7.2,77,307353,72.0
395,La habitación del pánico,2002,6.8,65,289055,68.0
396,Dragón rojo,2002,7.2,60,283842,72.0
397,El huésped maldito,2002,6.6,33,281013,66.0
398,Enlace mortal,2002,7.1,56,279004,71.0
399,Camino a la perdición,2002,7.7,72,278120,77.0
400,Chicago,2002,7.2,81,237246,72.0
401,Blade II,2002,6.7,52,227896,67.0
402,Die Another Day,2002,6.1,56,224938,61.0
403,Austin Powers in Goldmember,2002,6.2,62,217889,62.0
404,A Walk to Remember,2002,7.3,35,217280,73.0
405,Lilo y Stitch,2002,7.3,74,203337,73.0
406,Adaptation.,2002,7.7,83,198607,77.0
407,About a Boy,2002,7.1,75,188622,71.0
408,Ying xiong,2002,7.9,85,185286,79.0
409,xXx,2002,5.8,48,183970,58.0
410,25th Hour,2002,7.6,69,182458,76.0
411,Punch-Drunk Love,2002,7.3,78,171954,73.0
412,Mr. Deeds,2002,5.8,24,149226,58.0
413,We Were Soldiers,2002,7.2,65,147768,72.0
414,Bowling for Columbine,2002,8.0,72,147045,80.0
415,The Count of Monte Cristo,2002,7.7,61,144533,77.0
416,El rey escorpión,2002,5.5,45,142937,55.0
417,Irréversible,2002,7.3,51,142469,73.0
418,Reign of Fire,2002,6.2,39,142204,62.0
419,John Q,2002,7.1,30,139979,71.0
420,My Big Fat Greek Wedding,2002,6.6,62,138709,66.0
421,The Hours,2002,7.5,80,135984,75.0
422,About Schmidt,2002,7.2,85,131340,72.0
423,Mou gaan dou,2002,8.0,75,128594,80.0
424,One Hour Photo,2002,6.8,64,128576,68.0
425,The Time Machine,2002,6.0,42,127956,60.0
426,Treasure Planet,2002,7.2,60,127264,72.0
427,Two Weeks Notice,2002,6.1,42,122978,61.0
428,La suma de todos los miedos,2002,6.4,45,121666,64.0
429,Scooby-Doo,2002,5.2,35,120411,52.0
430,Sweet Home Alabama,2002,6.2,45,119556,62.0
431,Hable con ella,2002,7.9,86,115575,79.0
432,Bend It Like Beckham,2002,6.7,66,114294,67.0
433,National Lampoon's Van Wilder,2002,6.4,26,113185,64.0
434,Ghost Ship,2002,5.6,28,105957,56.0
435,The Hot Chick,2002,5.5,29,99838,55.0
436,Jackass: The Movie,2002,6.6,42,99780,66.0
437,Secretary,2002,6.9,63,95521,69.0
438,Infidelidad,2002,6.7,63,94328,67.0
439,Ali G Indahouse,2002,6.2,46,94268,62.0
440,Maid in Manhattan,2002,5.3,45,93834,53.0
441,Frida,2002,7.3,61,93195,73.0
442,Confessions of a Dangerous Mind,2002,7.0,67,90604,70.0
443,Analyze That,2002,5.9,37,88213,59.0
444,The Tuxedo,2002,5.4,30,86820,54.0
445,Solaris,2002,6.2,65,84950,62.0
446,The Mothman Prophecies,2002,6.4,52,82983,64.0
447,Star Trek: Nemesis,2002,6.4,51,82315,64.0
448,Spirit: Stallion of the Cimarron,2002,7.2,52,81750,72.0
449,Cabin Fever,2002,5.6,56,81366,56.0
450,Daño colateral,2002,5.5,33,76955,55.0
451,40 Days and 40 Nights,2002,5.6,53,74956,56.0
452,Changing Lanes,2002,6.5,69,73465,65.0
453,Boksuneun naui geot,2002,7.5,56,72855,75.0
454,Windtalkers,2002,6.1,51,71863,61.0
455,Mini espías 2: La isla de los sueños perdidos,2002,5.3,66,71209,53.0
456,K-19: The Widowmaker,2002,6.7,58,65801,67.0
457,Showtime,2002,5.5,32,64375,55.0
458,S1m0ne,2002,6.1,49,61770,61.0
459,Santa Clausula 2,2002,5.7,48,61237,57.0
460,The Sweetest Thing,2002,5.2,32,61011,52.0
461,Neko no ongaeshi,2002,7.1,70,60879,71.0
462,Cálculo mortal,2002,6.1,50,60555,61.0
463,Eight Legged Freaks,2002,5.5,53,59174,55.0
464,Queen of the Damned,2002,5.2,30,58421,52.0
465,Stuart Little 2,2002,5.5,66,56980,55.0
466,En defensa del honor,2002,6.3,49,54480,63.0
467,I Spy,2002,5.4,35,52698,54.0
468,The Rules of Attraction,2002,6.6,50,52662,66.0
469,Orange County,2002,6.2,48,51284,62.0
470,Bubba Ho-Tep,2002,6.9,57,50451,69.0
471,Mala compañía,2002,5.6,37,49273,56.0
472,Far from Heaven,2002,7.3,84,48102,73.0
473,Kung Pow: Enter the Fist,2002,6.2,14,47665,62.0
474,Lilja 4-ever,2002,7.8,83,47655,78.0
475,Halloween: Resurrection,2002,3.9,19,47317,39.0
476,Ju-on,2002,6.7,48,46741,67.0
477,Blood Work,2002,6.4,64,46696,64.0
478,The Good Girl,2002,6.4,71,46518,64.0
479,Crimen en primer grado,2002,6.4,48,46447,64.0
480,Enough,2002,5.7,25,46281,57.0
481,Tierra de sueños,2002,7.7,76,43871,77.0
482,Dirty Pretty Things,2002,7.3,78,43549,73.0
483,Whale Rider,2002,7.5,80,43473,75.0
484,Narc,2002,7.1,70,42343,71.0
485,L'auberge espagnole,2002,7.3,65,42233,73.0
486,Death to Smoochy,2002,6.3,38,41896,63.0
487,Amigas para siempre,2002,3.6,27,41271,36.0
488,Spider,2002,6.8,83,40383,68.0
489,Spun,2002,6.7,41,40163,67.0
490,El misterio de la libélula,2002,6.1,25,39465,61.0
491,May,2002,6.6,58,39151,66.0
492,24 Hour Party People,2002,7.3,85,38733,73.0
493,Big Fat Liar,2002,5.5,36,38562,55.0
494,Antwone Fisher,2002,7.3,62,37331,73.0
495,The New Guy,2002,5.8,24,37028,58.0
496,Femme Fatale,2002,6.2,60,36984,62.0
497,El novato,2002,6.9,72,36330,69.0
498,Undercover Brother,2002,5.9,69,35783,59.0
499,Drumline,2002,5.9,63,35548,59.0
500,The Four Feathers,2002,6.5,49,35030,65.0
501,Igby Goes Down,2002,6.9,72,34459,69.0
502,Undisputed,2002,6.1,58,33679,61.0
503,8 femmes,2002,7.0,64,33623,70.0
504,White Oleander,2002,7.1,61,33450,71.0
505,Barbershop,2002,6.3,66,32781,63.0
506,Blue Crush,2002,5.7,61,32443,57.0
507,Boat Trip,2002,4.9,18,31999,49.0
508,The Salton Sea,2002,7.0,41,31607,70.0
509,Rabbit-Proof Fence,2002,7.4,80,29755,74.0
510,Gin gwai,2002,6.6,66,29744,66.0
511,The Quiet American,2002,7.0,84,29228,70.0
512,Friday After Next,2002,5.8,35,29188,58.0
513,Rollerball,2002,3.1,14,28991,31.0
514,Snow Dogs,2002,5.2,29,28002,52.0
515,The Magdalene Sisters,2002,7.7,83,27977,77.0
516,Hollywood Ending,2002,6.5,46,27696,65.0
517,Life or Something Like It,2002,5.7,31,27487,57.0
518,The Adventures of Pluto Nash,2002,3.9,12,26584,39.0
519,The Master of Disguise,2002,3.3,12,26436,33.0
520,Heaven,2002,7.0,68,26195,70.0
521,City by the Sea,2002,6.1,50,26028,61.0
522,Bloody Sunday,2002,7.6,90,25383,76.0
523,Trapped,2002,6.1,42,24847,61.0
524,Tuck Everlasting,2002,6.6,66,24833,66.0
525,Tasogare Seibei,2002,8.1,82,24799,81.0
526,The Importance of Being Earnest,2002,6.8,60,24307,68.0
527,Mies vailla menneisyyttä,2002,7.6,84,24278,76.0
